Keyword,Count,Percentage
"low back strain",41,0.36
"tinnitus",41,0.36
"upper",40,0.35
"harassment",40,0.35
"lock-in date",39,0.34
"appealing",39,0.34
"entry-level wages",39,0.34
"knees",39,0.34
"benefits under the insurance plan",38,0.33
"clinical",38,0.33
"advised that the worker",38,0.33
"incident",37,0.32
"worker from returning to pre-injury",37,0.32
"termination",37,0.32
"upper extremity",36,0.31
"complex integrated cerebral functions",36,0.31
"pre-injury job",35,0.31
"tenosynovitis",35,0.31
"medical marijuana",35,0.31
"layoff",35,0.31
"determined that the worker",35,0.31
"injuries",34,0.30
"physiotherapist",34,0.30
"repetitive",33,0.29
"disruption",33,0.29
"eye",33,0.29
"diagnosis",33,0.29
"noted that the worker",33,0.29
"post-concussion syndrome",33,0.29
"diabetes",32,0.28
"letter",32,0.28
"pre-accident earnings",32,0.28
"indicates that the worker",32,0.28
"loss of earnings",31,0.27
"physiotherapy",31,0.27
"program",31,0.27
"supplementary benefits",31,0.27
"disc bulge",31,0.27
"independent operator",30,0.26
"chronic pain disability",30,0.26
"asbestos",29,0.25
"review",29,0.25
"supraspinatus tendon",29,0.25
"non-economic loss",29,0.25
"expiry",29,0.25
"short-term average earnings",28,0.24
"job duties",28,0.24
"worsening",28,0.24
"adhesive capsulitis",28,0.24
"lateral epicondylitis",28,0.24
"medical cannabis",28,0.24
"psychological impairment",27,0.24
"labral tear",27,0.24
"partial benefits",27,0.24
"lumbar",26,0.23
"obesity",26,0.23
"quantum",26,0.23
"classification",26,0.23
"training",26,0.23
"hour",26,0.23
"medial",26,0.23
"spinal stenosis",26,0.23
"psychological condition",26,0.23
"pre-existing degenerative",25,0.22
"family doctor",25,0.22
"fracture",25,0.22
"full-time hours",25,0.22
"part-time basis",25,0.22
"temporary work disruption",25,0.22
"premises",25,0.22
"re-employment obligation",24,0.21
"clinical notes",24,0.21
"presbycusis",24,0.21
"non-permanent employment",24,0.21
"onset",24,0.21
"six-month time limit",24,0.21
"average earnings",24,0.21
"thoracic spine",24,0.21
"asthma",24,0.21
"reporting",24,0.21
"work-related impairment",23,0.20
"exposure to asbestos",23,0.20
"cashier",23,0.20
"psychotraumatic",23,0.20
"supplement",23,0.20
"shoulder pain",23,0.20
"inguinal hernia",23,0.20
"employability",23,0.20
"tendon",23,0.20
"finds that the worker",23,0.20
"noise intolerance",23,0.20
"non-work-related injuries diseases",23,0.20
"bilateral shoulder",23,0.20
"arising from the above-referenced",23,0.20
"workplace harassment",23,0.20
"motor vehicle accident",22,0.19
"neck pain",22,0.19
"disc protrusion",22,0.19
"finger",22,0.19
"minor",22,0.19
"test for granting a reconsideration",22,0.19
"ability to earn minimum wage",22,0.19
"groin",22,0.19
"assessors",21,0.18
"pre-existing psychological",21,0.18
"personal injury by accident",21,0.18
"dizziness",21,0.18
"clarification request",21,0.18
"cognitive",21,0.18
"pre-existing",21,0.18
"asbestos exposure",21,0.18
"pleural plaques",21,0.18
"recalculation",21,0.18
"strain",21,0.18
"estate",21,0.18
"arrears date",21,0.18
"benefits for psychotraumatic disability",20,0.17
"radiculopathy",20,0.17
"tendinopathy",20,0.17
"personal work-related injury",20,0.17
"nerve root",20,0.17
"documents",20,0.17
"full benefits",20,0.17
"low back condition",20,0.17
"emotional",20,0.17
"forklift",20,0.17
"silica",20,0.17
"gait",20,0.17
"appeals",20,0.17
"pre-injury duties",20,0.17
"entitled to partial benefits",20,0.17
"merits",19,0.17
"bus",19,0.17
"supraspinatus",19,0.17
"wage",19,0.17
"reimbursement",19,0.17
"grip strength",19,0.17
"lower",19,0.17
"rated",19,0.17
"psycho-vocational assessment",19,0.17
"traumatic brain injury",19,0.17
"redacted",19,0.17
"pre-hearing conference",19,0.17
"videoconference",19,0.17
"chronic mental stress",19,0.17
"labour market",19,0.17
"plan",18,0.16
"pension",18,0.16
"notice",18,0.16
"activity",18,0.16
"neck injury",18,0.16
"executive officer",18,0.16
"sensorineural hearing loss",18,0.16
"worker s pre-existing",18,0.16
"wage loss",18,0.16
"full-time basis",18,0.16
"transferable skills",18,0.16
"request for reconsideration",18,0.16
"work-related injuries",18,0.16
"tears",17,0.15
"time limit to object",17,0.15
"worker is entitled to partial",17,0.15
"wrist injury",17,0.15
"functional abilities",17,0.15
"permanent",17,0.15
"walk-in clinic",17,0.15
"plantar fasciitis",17,0.15
"safe return to work",17,0.15
"vision",17,0.15
"ladder",17,0.15
"teeth",17,0.15
"impairments",17,0.15
"severely impaired",17,0.15
"jurisdiction",17,0.15
"downside risk",17,0.15
"forearm",17,0.15
"traumatic mental stress",17,0.15
"pre-existing degenerative changes",17,0.15
"sequential",17,0.15
"suitable employment",17,0.15
"pre-existing psychological condition",17,0.15
"relevance",17,0.15
"shoulders",16,0.14
"work accident",16,0.14
"sensorineural",16,0.14
"student",16,0.14
"prolonged",16,0.14
"occupational",16,0.14
"dependent contractor",16,0.14
"knee pain",16,0.14
"minutes",16,0.14
"ulnar nerve",16,0.14
"workplace",16,0.14
"hernia",16,0.14
"course",16,0.14
"condition",16,0.14
"ongoing entitlement",16,0.14
"panic attacks",16,0.14
"stenosis",16,0.14
"worker is competitively unemployable",16,0.14
"entry-level wage",16,0.14
"submitted that the worker",16,0.14
"parking lot",15,0.13
"firefighter",15,0.13
"error",15,0.13
"annular tear",15,0.13
"prejudicial",15,0.13
"supervisor",15,0.13
"co-worker",15,0.13
"chondromalacia",15,0.13
"date",15,0.13
"wrists",15,0.13
"submitted",15,0.13
"moderate pre-existing condition",15,0.13
"post-traumatic stress disorder",15,0.13
"dust",15,0.13
"worker is entitled to full",15,0.13
"antalgic gait",15,0.13
"customer service",15,0.13
"time limit extension",15,0.13
"responder",15,0.13
"epicondylitis",15,0.13
"dispatcher",15,0.13
"rotator cuff tears",15,0.13
"carpal tunnel",15,0.13
"worker is entitled",15,0.13
"exposure to benzene",15,0.13
"prior to the expiry",15,0.13
"infection",14,0.12
"hands",14,0.12
"doctor",14,0.12
"walking",14,0.12
"entry level wages",14,0.12
"six-month statutory",14,0.12
"thoracic",14,0.12
"dental",14,0.12
"ulnar neuropathy",14,0.12
"shoulder rotator cuff tear",14,0.12
"ulnar",14,0.12
"dispute",14,0.12
"receptionist",14,0.12
"disease",14,0.12
"cancer",14,0.12
"business",14,0.12
"spine",14,0.12
"chest",14,0.12
"post-concussive syndrome",14,0.12
"trigger finger",14,0.12
"ultrasound",14,0.12
"death",14,0.12
"compression fracture",14,0.12
"fall",14,0.12
"reported",14,0.12
"stroke",13,0.11
"ankle injury",13,0.11
"elemental",13,0.11
"respiratory",13,0.11
"granting a time extension",13,0.11
"meniscus",13,0.11
"slip",13,0.11
"full thickness tear",13,0.11
"disfigurement",13,0.11
"mild",13,0.11
"worker s pre-existing condition",13,0.11
"calcific tendonitis",13,0.11
"chiropractor",13,0.11
"marked life disruption",13,0.11
"application",13,0.11
"significant contributing factor",13,0.11
"full-time employment",13,0.11
"entitled to benefits",13,0.11
"sciatica",13,0.11
"driving",13,0.11
"suitability",13,0.11
"part-time work",13,0.11
"modified work duties",13,0.11
"damages",13,0.11
"inactive status",13,0.11
"statutory appeal time limit",13,0.11
"intertwined",12,0.10
"video",12,0.10
"arguable case on the merits",12,0.10
"acromion",12,0.10
"rheumatoid arthritis",12,0.10
"suitable occupation",12,0.10
"long-term earnings basis",12,0.10
"bilateral knee",12,0.10
"cubital tunnel syndrome",12,0.10
"elbow injury",12,0.10
"occupational asthma",12,0.10
"boxes",12,0.10
"earnings basis",12,0.10
"inactive",12,0.10
"teleconference",12,0.10
"bullying",12,0.10
"amputation",12,0.10
"bursitis",12,0.10
"retirement",12,0.10
"concussions",12,0.10
"period expires",12,0.10
"partial thickness tear",12,0.10
"work-related stressor",12,0.10
"entitled to claim benefits",12,0.10
"residents",12,0.10
"spouse",12,0.10
"index finger",12,0.10
"agenda",12,0.10
"cane",12,0.10
"redactions",12,0.10
"occupational exposures",12,0.10
"email",12,0.10
"entitlement to full benefits",12,0.10
"returning to pre-injury employment",11,0.10
"secondary",11,0.10
"lifting",11,0.10
"suitable for the worker",11,0.10
"reports",11,0.10
"worker stated",11,0.10
"retail",11,0.10
"coverage",11,0.10
"chance event",11,0.10
"found that the worker",11,0.10
"worker s file",11,0.10
"exceptional circumstances",11,0.10
"transferrable skills",11,0.10
"attend",11,0.10
"retroactive",11,0.10
"spondylolisthesis",11,0.10
"disorder",11,0.10
"comité",11,0.10
"psychomotor retardation",11,0.10
"arrears",11,0.10
"regular duties",11,0.10
"lower extremity",11,0.10
"machine",11,0.10
"knee condition",11,0.10
"object",11,0.10
"meniscal tears",11,0.10
"assessment",11,0.10
"constructive dismissal",11,0.10
"causation",11,0.10
"materials",11,0.10
"pre-existing non-compensable",11,0.10
"gradual onset",11,0.10
"care",11,0.10
"neuropathic pain",11,0.10
"osteoporosis",11,0.10
"worker has entitlement",11,0.10
"thigh",11,0.10
"sedentary",11,0.10
"computer",11,0.10
"sensitive",11,0.10
"holistic",11,0.10
"work-related disability",11,0.10
"pre-existing low back condition",11,0.10
"sleep apnea",10,0.09
"épaule droite",10,0.09
"request",10,0.09
"major depressive disorder",10,0.09
"relevant",10,0.09
"frequencies",10,0.09
"fumes",10,0.09
"stated that the worker",10,0.09
"part-time hours",10,0.09
"thresholds",10,0.09
"umbilical hernia",10,0.09
"esophageal cancer",10,0.09
"parts",10,0.09
"debilitating",10,0.09
"assessor",10,0.09
"tooth",10,0.09
"abdominal",10,0.09
"activities",10,0.09
"cardiac",10,0.09
"calculation",10,0.09
"medial meniscal tear",10,0.09
"skin",10,0.09
"worker had a pre-existing condition",10,0.09
"compatibility",10,0.09
"réexamen",10,0.09
"total knee replacement",10,0.09
"six-month time",10,0.09
"ongoing work-related impairment",10,0.09
"asbestosis",10,0.09
"sue",10,0.09
"myofascial pain",10,0.09
"soft tissue",10,0.09
"objectively traumatic",10,0.09
"bilateral carpal tunnel syndrome",10,0.09
"overuse",10,0.09
"interim",10,0.09
"withdraws",10,0.09
"non-compensable condition",10,0.09
"significant temporary deterioration",10,0.09
"incidents",10,0.09
"limp",10,0.09
"closes",10,0.09
"smoking history",10,0.09
"life disruption",10,0.09
"withdrawal",10,0.09
"six-month statutory time-limit for appealing",10,0.09
"study",10,0.09
"withdrawn",10,0.09
"occupational hygienist",10,0.09
"patient",10,0.09
"clinically compatible with the original",10,0.09
"reported that the worker",10,0.09
"placement",9,0.08
"six-month statutory time-limit",9,0.08
"employer s representative",9,0.08
"vocational rehabilitation",9,0.08
"range",9,0.08
"apportionment",9,0.08
"bias",9,0.08
"minor pre-existing condition",9,0.08
"frozen shoulder",9,0.08
"former representative",9,0.08
"arthritis",9,0.08
"pre-existing osteoarthritis",9,0.08
"risk",9,0.08
"medical significance",9,0.08
"marijuana",9,0.08
"worker is entitled to benefits",9,0.08
"work disruption",9,0.08
"migraines",9,0.08
"survivors",9,0.08
"cyst",9,0.08
"non-work-related injuries",9,0.08
"income",9,0.08
"thoracic outlet syndrome",9,0.08
"age",9,0.08
"prostate cancer",9,0.08
"mental health",9,0.08
"pelvis",9,0.08
"entitlement for the right shoulder",9,0.08
"medial meniscus",9,0.08
"exacerbation",9,0.08
"workplace injury",9,0.08
"home",9,0.08
"overpayment",9,0.08
"soft tissue injuries",9,0.08
"participate as amicus curiae",9,0.08
"documentation",9,0.08
"benefit",9,0.08
"ability to earn entry-level wages",9,0.08
"pre-existing asthma",9,0.08
"work-related factors",9,0.08
"shoulder impairment",9,0.08
"oven cleanouts",9,0.08
"appeal allowed in part | workplace health and safety",9,0.08
"meniscal",8,0.07
"recalculation period",8,0.07
"heel",8,0.07
"hips",8,0.07
"clinical compatibility",8,0.07
"knee meniscal tear",8,0.07
"injections",8,0.07
"physician",8,0.07
"pre-existing disability",8,0.07
"non-compensable",8,0.07
"pre-accident state",8,0.07
"jobs",8,0.07
"permanent work disruption",8,0.07
"fingers",8,0.07
"worker reported",8,0.07
"massage therapy",8,0.07
"net business income",8,0.07
"elemental service job",8,0.07
"long-term earnings",8,0.07
"lung",8,0.07
"employer representative",8,0.07
"chondromalacia patella",8,0.07
"orthopaedic surgeon",8,0.07
"coronary artery disease",8,0.07
"pre-existing back condition",8,0.07
"modified work offered",8,0.07
"leukemia",8,0.07
"values",8,0.07
"rotator cuff tendinopathy",8,0.07
"benefits for traumatic mental stress",8,0.07
"shoulder condition",8,0.07
"wife",8,0.07
"interstitial lung disease",8,0.07
"post-concussion symptoms",8,0.07
"vertigo",8,0.07
"predicted",8,0.07
"net average earnings",8,0.07
"procedure",8,0.07
"pattern",8,0.07
"suicidal ideation",8,0.07
"specialty clinic",8,0.07
"academic upgrading",8,0.07
"biceps",8,0.07
"repetitive strain injury",8,0.07
"biceps tendon",8,0.07
"secondary condition",8,0.07
"work-related",8,0.07
"brain injury",8,0.07
"benzene",8,0.07
"elemental service job category",8,0.07
"adjournment request",8,0.07
"chiropractic treatment",8,0.07
"calcific tendinopathy",8,0.07
"stairs",8,0.07
"functional",8,0.07
"strength",8,0.07
"part-time employment",8,0.07
"vehicle",8,0.07
"related to the work-related injury",8,0.07
"motor vehicle",8,0.07
"low back strain sprain",8,0.07
"myocardial infarction",8,0.07
"migrant agricultural workers",8,0.07
"gradual onset disablement",8,0.07
"tha",8,0.07
"fundamental error",8,0.07
"confirms that the worker",8,0.07
"prejudice",8,0.07
"deadline",7,0.06
"cervical radiculopathy",7,0.06
"entitlement for the left shoulder",7,0.06
"correspondence",7,0.06
"employment pattern",7,0.06
"respirable dust",7,0.06
"contract",7,0.06
"x-ray",7,0.06
"psychiatric",7,0.06
"eye injury",7,0.06
"assault",7,0.06
"six-month statutory time-limit for objecting",7,0.06
"douleur",7,0.06
"myofascial pain syndrome",7,0.06
"psoriatic arthritis",7,0.06
"flexion",7,0.06
"welding",7,0.06
"bilateral shoulders",7,0.06
"commissaire aux appels",7,0.06
"compression fractures",7,0.06
"worker had a pre-existing",7,0.06
"pre-accident job",7,0.06
"pulmonary embolism",7,0.06
"window",7,0.06
"ankylosing spondylitis",7,0.06
"overhead",7,0.06
"motorized scooter",7,0.06
"spraying",7,0.06
"mild traumatic brain injury",7,0.06
"audiologist",7,0.06
"ionizing radiation",7,0.06
"long-term care facility",7,0.06
"vocational",7,0.06
"compensable injury",7,0.06
"cart",7,0.06
"experience rating",7,0.06
"security guard",7,0.06
"paramedic",7,0.06
"traumatic events",7,0.06
"taken away",7,0.06
"disc herniations",7,0.06
"format",7,0.06
"re-employment obligations",7,0.06
"mesothelioma",7,0.06
"sarcoidosis",7,0.06
"non-cooperation",7,0.06
"appointments",7,0.06
"occupational noise exposure",7,0.06
"substantial new evidence",7,0.06
"non-organic condition",7,0.06
"hip replacement surgery",7,0.06
"shift",7,0.06
"pulmonary fibrosis",7,0.06
"medial meniscus tear",7,0.06
"market re-entry",7,0.06
"heavy equipment operator",7,0.06
"testimony",7,0.06
"seizures",7,0.06
"reconvened",7,0.06
"dementia",7,0.06
"retraining",7,0.06
"elbows",7,0.06
"unable to return to work",7,0.06
"ability to earn",7,0.06
"outstanding",7,0.06
"deleted",7,0.06
"work duties",7,0.06
"work-related condition",7,0.06
"survivor",7,0.06
"daily living",7,0.06
"greeter",7,0.06
"apprentice",7,0.06
"ribs",7,0.06
"mental stress injury",7,0.06
"mechanical low back pain",7,0.06
"anterolisthesis",7,0.06
"wrongful dismissal",7,0.06
"impairment rating",7,0.06
"work-related low back injury",7,0.06
"lbs",7,0.06
"kidney cancer",7,0.06
"medial femoral condyle",7,0.06
"idiopathic pulmonary fibrosis",7,0.06
"abandoned",7,0.06
"file an on-time",7,0.06
"filing an on-time",7,0.06
"threshold test for granting",7,0.06
"appeal denied",7,0.06
"osteopenia",6,0.05
"colorectal cancer",6,0.05
"crush injury",6,0.05
"employeur",6,0.05
"worker s right shoulder",6,0.05
"sprain strain",6,0.05
"entitled to a redetermination",6,0.05
"totally disabled",6,0.05
"worker s left knee",6,0.05
"earning capacity",6,0.05
"hypertension",6,0.05
"health care measures",6,0.05
"post-concussive",6,0.05
"permanent worsening",6,0.05
"syncope",6,0.05
"sorting",6,0.05
"tendonitis",6,0.05
"low back symptoms",6,0.05
"overcompensation",6,0.05
"scar",6,0.05
"welder",6,0.05
"non-co-operation",6,0.05
"abnormality",6,0.05
"bipolar disorder",6,0.05
"calf",6,0.05
"advisable",6,0.05
"company",6,0.05
"medical reporting",6,0.05
"unemployable",6,0.05
"hospital",6,0.05
"rate",6,0.05
"unable to perform any work",6,0.05
"seasonal",6,0.05
"wrote to the worker",6,0.05
"knee replacement surgery",6,0.05
"temporary total disability benefits",6,0.05
"assistive devices",6,0.05
"nerve",6,0.05
"memo",6,0.05
"herbicide",6,0.05
"avascular necrosis",6,0.05
"psycho-vocational",6,0.05
"truck driver",6,0.05
"statutory time limit",6,0.05
"contributing factor",6,0.05
"health care information",6,0.05
"knee osteoarthritis",6,0.05
"scooter",6,0.05
"bicep",6,0.05
"biceps tenosynovitis",6,0.05
"freezer",6,0.05
"period",6,0.05
"permanent worsening date",6,0.05
"self-represented worker",6,0.05
"mouse",6,0.05
"migraine",6,0.05
"paralegal",6,0.05
"patients",6,0.05
"proceedings",6,0.05
"medications",6,0.05
"describes",6,0.05
"cannabis",6,0.05
"accommodations",6,0.05
"commute",6,0.05
"shifts",6,0.05
"entitlement to partial benefits",6,0.05
"joint",6,0.05
"crane",6,0.05
"bowel",6,0.05
"disc bulges",6,0.05
"opined that the worker",6,0.05
"will",6,0.05
"workplace exposures",6,0.05
"rib",6,0.05
"rubber",6,0.05
"thickness",6,0.05
"foot injury",6,0.05
"pre-injury average earnings",6,0.05
"heart attack",6,0.05
"consciousness",6,0.05
"misstatement",6,0.05
"work-related permanent impairment",6,0.05
"measurements",6,0.05
"stress",6,0.05
"labral",6,0.05
"non-organic",6,0.05
"toe",6,0.05
"occupation",6,0.05
"indemnisable",6,0.05
"concluded that the worker",6,0.05
"trochanteric bursitis",6,0.05
"low back impairment",6,0.05
"mediation",6,0.05
"outcome",6,0.05
"attendant",6,0.05
"compensable low back injury",6,0.05
"trays",6,0.05
"subject to the time limit",6,0.05
"time period",6,0.05
"fire",6,0.05
"occupational disease",6,0.05
"benefits for a psychotraumatic disability",6,0.05
"pre-injury",6,0.05
"request for a time limit",6,0.05
"request for a time",6,0.05
"overtime",6,0.05
"subscapularis",6,0.05
"type acromion",6,0.05
"historic trade-off",6,0.05
"widow",6,0.05
"air quality",6,0.05
"epidemiological",6,0.05
"labour market re-entry plan",6,0.05
"unsuitable",6,0.05
"nurse practitioner",6,0.05
"femur",6,0.05
"representative submitted that the worker",6,0.05
"post-concussive symptoms",6,0.05
"bladder cancer",6,0.05
"mood",6,0.05
"maximum medical recovery",6,0.05
"original injury disease",6,0.05
"renal cell carcinoma",6,0.05
"presumption",6,0.05
"breast cancer",6,0.05
"records",6,0.05
"hip injury",6,0.05
"expert",6,0.05
"gym",6,0.05
"equals",6,0.05
"allergic contact dermatitis",6,0.05
"suitable work",6,0.05
"workstation",6,0.05
"incident exposure",6,0.05
"rib fractures",6,0.05
"worker has an arguable",6,0.05
"entitlement to a redetermination",6,0.05
"offer",6,0.05
"work-relatedness",6,0.05
"vaccine",6,0.05
"beyond the usual healing time",6,0.05
"appeal allowed in part",6,0.05
"entitlement to benefits for psychotraumatic",5,0.04
"worker was self-represented",5,0.04
"bilateral knees",5,0.04
"nurse",5,0.04
"entitlement to medical marijuana",5,0.04
"job placement",5,0.04
"foot drop",5,0.04
"low back sprain strain",5,0.04
"decay",5,0.04
"pinch strength",5,0.04
"worker s pre-injury",5,0.04
"closure",5,0.04
"equipment",5,0.04
"medial epicondylitis",5,0.04
"independent operator status",5,0.04
"exposure to noise",5,0.04
"pre-existing right shoulder",5,0.04
"knee strain",5,0.04
"work part-time",5,0.04
"health care benefits",5,0.04
"wkr",5,0.04
"objecting",5,0.04
"neuropathy",5,0.04
"medical evidence",5,0.04
"pre-existing degenerative disc disease",5,0.04
"lock",5,0.04
"cold",5,0.04
"rotator cuff tendonitis",5,0.04
"aggravation",5,0.04
"bilateral knee osteoarthritis",5,0.04
"work injury",5,0.04
"garbage",5,0.04
"shoulder adhesive capsulitis",5,0.04
"seizure",5,0.04
"wheelchair",5,0.04
"ability to adjudicate",5,0.04
"roofer",5,0.04
"elemental service",5,0.04
"attendant care",5,0.04
"sleep",5,0.04
"laundry",5,0.04
"bottles",5,0.04
"abilities",5,0.04
"gripping",5,0.04
"fractures",5,0.04
"median",5,0.04
"real estate",5,0.04
"opioid",5,0.04
"ankles",5,0.04
"scapholunate",5,0.04
"taxi",5,0.04
"pre-existing depression",5,0.04
"calcific tendinosis",5,0.04
"vocational rehabilitation program",5,0.04
"return-to-work plan",5,0.04
"surveillance",5,0.04
"added peril",5,0.04
"repetitive strain",5,0.04
"bilateral shoulder condition",5,0.04
"pension re-assessment",5,0.04
"finality",5,0.04
"diesel exhaust",5,0.04
"functioning",5,0.04
"cleaning",5,0.04
"wages",5,0.04
"premium",5,0.04
"rotation",5,0.04
"video surveillance",5,0.04
"neurological",5,0.04
"travel",5,0.04
"lay-off",5,0.04
"travel expenses",5,0.04
"ankle impairment",5,0.04
"gun",5,0.04
"decision-making process",5,0.04
"drivers",5,0.04
"resignation",5,0.04
"dog",5,0.04
"pre-existing right shoulder condition",5,0.04
"major pre-existing condition",5,0.04
"benefits for chronic mental stress",5,0.04
"electrocution",5,0.04
"blood pressure",5,0.04
"neck condition",5,0.04
"pre-existing degenerative conditions",5,0.04
"delivery driver",5,0.04
"hematoma",5,0.04
"work-related permanent",5,0.04
"earn entry-level wages",5,0.04
"statutory accident benefits",5,0.04
"worker has entitlement to partial",5,0.04
"strike",5,0.04
"middle finger",5,0.04
"hand wrist",5,0.04
"entitlement for fibromyalgia",5,0.04
"arthroplasty",5,0.04
"interpreter",5,0.04
"fires",5,0.04
"trailer",5,0.04
"explanation for the delay",5,0.04
"suicide",5,0.04
"typing",5,0.04
"bilateral knee condition",5,0.04
"scheduled",5,0.04
"low back strain injury",5,0.04
"functional restrictions",5,0.04
"intervenors",5,0.04
"reclassification",5,0.04
"neck strain",5,0.04
"trapezius",5,0.04
"knee surgery",5,0.04
"nerve root irritation",5,0.04
"light delivery driver",5,0.04
"mechanic",5,0.04
"family physician",5,0.04
"prior",5,0.04
"release",5,0.04
"difference between the pre-accident earnings",5,0.04
"electrician",5,0.04
"drywall",5,0.04
"benefits for a permanent impairment",5,0.04
"concurrent employment",5,0.04
"enhanced due to a pre-existing",5,0.04
"offered by the accident employer",5,0.04
"telemarketer",5,0.04
"pre-existing condition pre-accident disability",5,0.04
"pre-existing degenerative change",5,0.04
"coffee",5,0.04
"syncope episode",5,0.04
"based on a deemed ability",5,0.04
"age-related degeneration",5,0.04
"calcific tendinitis",5,0.04
"childhood",5,0.04
"mild to moderate emotional disturbance",5,0.04
"hamstring",5,0.04
"expenses",5,0.04
"intentional infliction",5,0.04
"knee medial meniscal tear",5,0.04
"lower leg",5,0.04
"stale",5,0.04
"two-month delay",5,0.04
"entitlement for a neck injury",5,0.04
"established for the compensable accident",5,0.04
"somatic symptom disorder",5,0.04
"psychological restrictions",5,0.04
"time-limit extension",5,0.04
"unrepresented",5,0.04
"total knee replacement surgery",5,0.04
"entitlement for a right shoulder",5,0.04
"edition",5,0.04
"working duties",5,0.04
"psychologist",5,0.04
"internally coherent",5,0.04
"ability to work",5,0.04
"appeal denied | workplace health and safety",5,0.04
"appeal denied | evidence",5,0.04
"sief cost relief",5,0.04
"ganglion",4,0.03
"ergonomic",4,0.03
"bundles",4,0.03
"non-compensable surgery",4,0.03
"original vice-chair",4,0.03
"occurred in the course",4,0.03
"subacromial bursitis",4,0.03
"irritant contact dermatitis",4,0.03
"short-term earnings basis",4,0.03
"sprain",4,0.03
"adjudicate",4,0.03
